user_id,username,skills,location,interests,skillLevel,contentType,timeCommitment
25,dev,,qwe,,,,
26,MOMMYYYYY,,qwe,,,,
27,Janu,"[""Graphic Designing""]",qwe,,,,
28,hastha,"[""Photography"";""UI/UX"";""Music Production""]",qwe,,,,
30,BANU,"[""Photography"";""Music Production"";""UI/UX""]",qwe,,,,
31,ddd34453,"[""Music Production"";""UI/UX"";""Animation""]",qwe,,,,
33,dev_1223424,"[""Photography"";""UI/UX"";""Music Production""]",dhfjshfkdjf,,,,
34,sandul,"[""Photography"";""Music Production"";""Animation""]",dhfjshfkdjf,,,,
35,DIYANAAAAA,"[""Graphic Designing"";""UI/UX""]",dhfjshfkdjf,,,,
36,FERNANDOOOOO,"[""Photography"";""Music Production"";""Animation""]",dhfjshfkdjf,,,,
37,NETHMIIIII,"[""Photography"";""Music Production"";""Animation""]",Colombo,,,,
38,SUCHINDUUUUUU,"[""Graphic Designing"";""Animation"";""Videography""]",Colombo,,,,
41,USERRR!@#!@#,"[""Graphic Designing"";""Advertising""]",Negomboo,,,,
42,meow,"[""Graphic Designing"";""UI/UX""]",Negomboo,,,,
43,THINAL,"[""Photography"";""Music Production"";""UI/UX"";""Content Creation""]",india,,,,
32,hello_13245,"[""UI/UX"";""Animation"";""Marketing"";""Graphic Designing"";""Videography""]",Negombo,,,,
44,suchiiii,"[""Graphic Designing"";""Music Production""]",colombo,,,,
53,SHIROOOOLP,"[""Music Production"";""Videography"";""Advertising""]",qwe,,,,
55,BROSKI,"[""Graphic Designing"";""UI/UX"";""Content Creation""]",Negomboo,,,,
58,bar,"[""Videography"";""Animation"";""UI/UX""]",Negomboo,,,,
10000,testuser_0,"Advertising,Animation",City_16,"Marketing,Advertising,Animation",Advanced,Written guides,1–3 hours
10001,testuser_1,"Content Creation,Graphic Designing,Videography,Animation",City_14,Marketing,Intermediate,Interactive activities,< 1 hour
10002,testuser_2,"Videography,Graphic Designing,Animation,Marketing",City_30,"Videography,Photography,Marketing",Beginner,Interactive activities,5+ hours
10003,testuser_3,"Videography,Graphic Designing",City_30,"Music Production,Graphic Designing,Animation,UI/UX",Advanced,Written guides,5+ hours
10004,testuser_4,"Marketing,Photography,Advertising,Animation,Videography",City_18,"UI/UX,Videography,Animation,Content Creation",Beginner,Interactive activities,1–3 hours
10005,testuser_5,"Videography,Advertising,Music Production",City_47,"Marketing,Graphic Designing,Advertising,UI/UX,Content Creation",Beginner,Video tutorials,1–3 hours
10006,testuser_6,"Videography,Content Creation",City_28,Music Production,Intermediate,Written guides,3–5 hours
10007,testuser_7,Advertising,City_14,Graphic Designing,Beginner,Video tutorials,1–3 hours
10008,testuser_8,Marketing,City_29,"Animation,Content Creation,Graphic Designing,UI/UX",Intermediate,Video tutorials,3–5 hours
10009,testuser_9,Music Production,City_28,"Advertising,Photography,Animation,Videography",Beginner,Video tutorials,1–3 hours
10010,testuser_10,"Advertising,Marketing,Photography",City_17,Advertising,Beginner,Interactive activities,1–3 hours
10011,testuser_11,Music Production,City_33,"Content Creation,UI/UX,Advertising,Videography,Photography",Advanced,Interactive activities,< 1 hour
10012,testuser_12,Advertising,City_20,"Advertising,Videography,Content Creation,Photography",Intermediate,Video tutorials,< 1 hour
10013,testuser_13,UI/UX,City_15,"Animation,Advertising",Beginner,Written guides,3–5 hours
10014,testuser_14,"Graphic Designing,Videography,Music Production,UI/UX,Content Creation",City_50,"UI/UX,Videography,Advertising,Content Creation",Intermediate,Written guides,1–3 hours
10015,testuser_15,"Advertising,Photography,Animation",City_29,"Animation,Music Production,UI/UX,Content Creation,Marketing",Advanced,Written guides,< 1 hour
10016,testuser_16,"Animation,Content Creation,Advertising,Marketing",City_24,"Videography,Animation,Music Production",Beginner,Video tutorials,1–3 hours
10017,testuser_17,"UI/UX,Videography,Music Production,Content Creation,Animation",City_26,"Advertising,Graphic Designing",Beginner,Video tutorials,1–3 hours
